vendor_normalized,sum_effective_value
MICROSOFT CANADA,1795727.865
TOTEM OFFISOURCE,1376291.11
GARTNER,927006.62
TERAMACH TECHNOLOGIES,669318.22
CANADIAN CORPS OF COMMISSIONAIRES,627956.48
SOFTCHOICE,590896.09
KPMG,523386.3
COMBAT NETWORKS,462393.67
ONLOGICS,429984.21
FUTURE SECURITY CONTROLS,364200
IBM CANADA,359311.85
TEKNION,357963.62
XEROX,337110.86
HEWLETT PACKARD,335858.63
HAY GROUP,274003
ORACLE CANADA,263848.54
BRAINHUNTER,245050
ADIRONDACK TECHNOLOGIES,240378
GERALD DEROUIN MANAGEMENT CONSULTANT,237300
FREEBALANCE,229797
ECOLE DE LANGUES ABCE,211452.500000001
JOHNSONS BUSINESS INTERIORS,207899.57
VISIONTEC 2008,190032.099999999
EXCEL HUMAN RESOURCES,180332.15
KIFINITI SOLUTIONS,177952
CAPELLO AUDIO ELECTRONICS,174498.55
FORRESTER RESEARCH,167712.38
PROCOM CONSULTANTS,167378.43
IBISKA TELECOM,163885
BIR CONSULTING,155375
FRONTRANGE SOLUTIONS USA,150495.26
PLEIAD CANADA,141252.5
QMR,139115
HRWARE,136970.75
DELL COMPUTER,133206.85
SMART PRINTING SOLUTIONS,129725
TELELOGIC NORTH AMERICA,129560
ACOLE DE LANGUE DE LESTRIE,125622.3
NORTH AMERICAN SECURITY SERVICES,122953.68
PRINTERS PLUS,122086.32
IFATHOM,121080
CHASE OFFICE INTERIORS,118442.88
GILLIN ENGINEERING,110327.85
BELL CANADA,107208.03
KNOWLEDGE CIRCLE LEARNING SERVICES,100300
FRONT RANGE SOLUTIONS,100000
GRANT THORNTON,99500
CYGNOS,97274.45
SHRED IT,93730.858333334
MULTISHRED,92046.31
234 LAURIER LEASEHOLD,91799.1
BARBARA PERSONNEL,91640.5
VINCI PARK,91001.88
BERLITZ CANADA,89715.9
ERGO INDUSTRIAL SEATING SYSTEMS,86953.5
CISTEL TECHNOLOGY,82500
ADOBE,80997.82
JOHN A TYLER AND ASSOCIATES SECURITY,80000
MAPLESOFT CONSULTING,79891
CENTRE DE LANGUES INTERNATIONALES CHARPENTIER,78027
THE HAY GROUP,75000
EMBARCADERO TECHNOLOGIES,73433.96
OPENTEXT,72750
CLOUDMAGIC,71664.035
PETER J KINDREE ARCHITECT,71309.5
NEOPOST CANADA,68298.31
HWAVE AN ALLIANT COMPANY,68000
BMB CONSULTING,66280
MIREMS,64550
ACOLE DE LANGUES ABCE,63210
THE BYTOWN GROUP,63159.225
KIFINTI SOLUTIONS,61952.270000001
GALBRAITH COMMUNICATIONS,61400
ST JOSEPH PRINT GROUP,61008.58
DRAKE BEAM MORIN,60270
KWA PARTNERS,60260
TALENTMAP,59057.5
ACOLE LESTRIE,57960
NATIONAL PRINTERS,57750
FOXWISE TECHNOLOGIES,53147.52
GLS DEZIGN,52363.5
CYBERKLIX,51078.06
GRAYBRIDGE INTERNATIONAL CONSULTING,50850
PROMAXIS,50400
GLOBAL UPHOLSTERY,50209.83
HICKS MORLEY BARRISTER AND SOLIITORS,50000
ADVANCED POLICY CONCEPTS,48600
LAURIER COMPUTERS,48594.262295082
GILMORE PRINTING SERVICES,47706
UNIVERSITY OF OTTAWA,46700
PROMOMEDIA GROUP,45740.05
THE GLOBAL GROUP,45082
PRIMEXX VENTURES ALEJANDRA CARRILLO IN JV,44974
ATRIA NETWORKS,44300
UNIVERSITY OF TORONTO,43802
RICOH,43098
CHRISTIE WALTHER COMMUNICATIONS,42767.35
ACCURATE DESIGN COMMUNICATION,41366.48
FRONT RAGE,40567.46
CASEWARE,40250
