gen_vendor_normalized,total_entries,total_contracts,total_amendments
IBM CANADA,332,162,170
FISHER SCIENTIFIC,314,304,10
VWR INTERNATIONAL,293,284,9
IMPERIAL OIL,200,123,77
ILLUMINA CANADA,184,171,13
LIFE TECHNOLOGIES,133,120,13
AGILENT,118,115,3
FISHER SCIENTIFIC COMPANY,117,117,0
BIO RAD LABORATORIES CANADA,113,109,4
CACHE COMPUTER CONSULTING,111,70,41
CANADIAN CORPS OF COMMISSIONAIRES,105,90,15
PODOLINSKY EQUIPMENT,100,98,2
THERMO FISHER SCIENTIFIC,80,79,1
CANON,79,39,40
WINTERSTEIGER,77,76,1
ADGA GROUP,76,32,44
HOSKIN SCIENTIFIC,72,71,1
ARI FINANCIAL SERVICES,69,66,3
QIAGEN CANADA,60,57,3
DONNA CONA,59,31,28
WATERS,54,54,0
VERITAAQ TECHNOLOGY HOUSE,54,31,23
MANDEL SCIENTIFIC COMPANY,51,48,3
BLUEWAVE ENERGY,51,46,5
TURTLE TECHNOLOGIES,50,32,18
LEKTER INDUSTRIAL SERVICES,47,44,3
GENOME QUEBEC,47,44,3
UNIVERSITY OF GUELPH,47,36,11
SYSTEMATIX SOLUTIONS,43,26,17
FORD MOTOR COMPAMY,43,40,3
CONTROLLED ENVIRONMENTS,42,38,4
HOLONICS,42,26,16
CAMPBELL SCIENTIFIC CANADA,39,39,0
ERNST YOUNG,38,29,9
I4C CONSULTING,37,17,20
BECKMAN COULTER CANADA,36,33,3
NIKON CANADA,35,35,0
NORTHERN MICRO,34,34,0
ATS SCIENTIFIC,34,34,0
FOSS NORTH AMERICA,33,31,2
V W R INTERNATIONAL,33,30,3
GATEWAY MECHANICAL SERVICES,32,27,5
SAMSON ASSOCIES,32,26,6
DELOITTE AND TOUCHE,30,19,11
CORADIX TECHNOLOGY CONSULTING,30,22,8
GC BAXTER PLUMBING,30,16,14
ALTIS HUMAN RESOURCES,29,17,12
LEICA MICROSYSTEMS CANADA,29,27,2
RICOH,29,8,21
RICHARDSON PIONEER,29,26,3
STERIS CANADA,29,28,1
COSSETTE COMMUNICATIONS,29,25,4
FLEET FCA CANADA,28,26,2
FCA CANADA,28,24,4
EXCEL HUMAN RESOURCES,28,18,10
SIEMENS,27,26,1
LARRY PENNER ENTERPRISES,27,15,12
SOUTHERN SEED TECHNOLOGY,27,21,6
CGI,27,17,10
D MARK BIOSCIENCES,25,24,1
MAPLESOFT CONSULTING,25,10,15
PEAK MECHANICAL PARTNERSHIP,23,20,3
CARL ZEISS CANADA,23,23,0
MARCIL LAVALLEE,23,21,2
FOLIO INSTRUMENTS,22,22,0
NISHA TECHONOLOGIES,22,22,0
OVATIO LEROUX,22,9,13
CISTEL TECHNOLOGY,21,13,8
SYSTEMSCOPE,21,19,2
ABCE LANGUAGE SCHOOL,21,15,6
BDO CANADA,21,15,6
GOLDER ASSOCIATES,21,13,8
MIKADO ELECTRIC,20,19,1
DMT MECHANICAL,20,18,2
QIAGEN,20,20,0
HEWLETT PACKARD,20,15,5
BLACK MCDONALD,20,16,4
PITNEY BOWES,19,17,2
ESBE SCIENTIFIC INDUSTRIES,19,19,0
UNIVERSITY OF SASKATCHEWAN,18,18,0
PRINTERS PLUS,18,18,0
HONEYWELL,18,16,2
SEMILLAS GENERACION 2000 LTDA,18,16,2
CONVIRON,18,18,0
ARI FINANCIAL SERVICES T46163,18,18,0
IT NET CONSULTANTS,18,13,5
CROP PRODUCTION SERVICES,18,18,0
SHOULDICE MECHANICAL,17,15,2
REDHEAD EQUIPMENT,16,16,0
HOSKIN SCIENTIFIQUE,16,16,0
FIXAIR,16,10,6
FAHRHALL MECHANICAL CONTRACTORS,16,15,1
BUILDON CONSTRUCTION,16,14,2
WATERS SCIENTIFIC,16,16,0
NANOSTRING TECHNOLOGIES,16,16,0
CEDARLANE LABORATORIES,16,15,1
TOSHIBA OF CANADA,15,4,11
FOXRED CONSULTING,15,6,9
CHUBB EDWARDS,15,15,0
TECHNICO LAIT,15,11,4
FIVE STAR ENTERPRISE,15,12,3
MOFFAT,15,11,4
