gen_vendor_normalized,total_entries,total_contracts,total_amendments
DELOITTE AND TOUCHE,26,26,0
CHRISTOPHER IRA MCKAY ART RESTORATION,12,12,0
ROY MACSKIMMING,8,8,0
HILL STRATEGIES RESEARCH,7,7,0
DHPR COMMUNICATIONS,7,7,0
FRANCINE LALONDE DENTREMONT,7,7,0
REALDECOY,7,7,0
DART,7,7,0
IDS SYSTEMS,6,6,0
ROBERT HALF TECHNOLOGY,6,6,0
SUSAN DITTA,5,5,0
ODGERS BERNDTSON OTTAWA,5,5,0
LEVERAGETEK IT SOLUTIONS,5,5,0
JOAN BOSWORTH,5,5,0
CLAUDIA BUCKLEY,5,5,0
COUGHLIN ASSOCIATES IN TRUST FOR CCA,4,4,0
THE HILLBROOKE GROUP,4,4,0
NEWFOUND RECRUITING,4,4,0
RECEIVER GENERAL FOR CANADA PCH,4,4,0
INFOMART A DIVISION OF POSTMEDIA NETWORK,4,4,0
ASSOCIATION OF PERFORMING ARTS PRESENTERS,4,4,0
MERCER,4,4,0
MIREILLE BERTRAND,4,4,0
JACQUELINE OBOMSAWIN,4,4,0
MEDIAMISER,4,4,0
MONTREAL CHAMBER MUSIC FESTIVAL,4,4,0
DIANE CHAPERON LOR,4,4,0
LISE DUBOIS,4,4,0
COMTRA,3,3,0
BESC OTTAWA,3,3,0
CREATIVE FORCE COMMUNICATIONS,3,3,0
ATUDE ACONOMIQUE CONSEIL,3,3,0
ROBYN JEFFREY WRITING EDITING SERVICES,3,3,0
THE WALRUS FOUNDATION,3,3,0
EXCEL HUMAN RESOURCES,3,3,0
RD MCALPINE ASSOCIATES,3,3,0
NORDICITY GROUP,3,3,0
M BURGESS CONSULTANTS,3,3,0
KPMG,3,3,0
RANDSTAD,3,3,0
NATIONAL GALLERY OF CANADA,3,3,0
DELTA MEDIA,3,3,0
BV02,3,3,0
ROGERS,3,3,0
HELEN YUNG,3,3,0
HUMAN POTENTIAL CONSULTANTS,3,3,0
FRANCE TRACPANIER,3,3,0
INGENIUM COMMUNICATIONS,3,3,0
AON HEWITT,3,3,0
VERSACOM,3,3,0
FOR THE RECORD PRODUCTIONS,3,3,0
FAVEQUEST,3,3,0
TRIBECA STUDIO PROGRAM,2,2,0
THE ROYAL ARCHITECTURAL INSTITUTE OF CANADA,2,2,0
TWIST IMAGE,2,2,0
TALENTMAP,2,2,0
COMMUNICATIONS MDR,2,2,0
ANITA AGRAWAL,2,2,0
STRATFORD FESTIVAL,2,2,0
UNESCO,2,2,0
BBG MANAGEMENT,2,2,0
SHEPELLFGI A DIVISION OF HRCO,2,2,0
ANGELA BIRDSELL,2,2,0
SOPHIE ISABELLE LESAGE,2,2,0
CHARRON HUMAN RESOURCES,2,2,0
FORMAN ASSOCIACS,2,2,0
RH BELVEDERE HR,2,2,0
ROBERT HALF INTERNATIONAL,2,2,0
STIFF SENTENCES,2,2,0
VANESSA RICHARDS,2,2,0
RACHAEL VAN FOSSEN,2,2,0
CENTRE DE FORMATION CARON,2,2,0
QUARTIER APHACMARE CENTRE DARTS VISUELS,2,2,0
PETER MORAND ASSOCIATES,2,2,0
ONLINE AUTHORITY,2,2,0
QMR,2,2,0
NATIONAL PUBLIC RELATIONS,2,2,0
ELIZABETH MACKINNON,2,2,0
MEYERS NORRIS PENNY,2,2,0
EKOS RESEARCH ASSOCIATES,2,2,0
EDWARD J CUHACI ASSOCIATES ARCHITECTS,2,2,0
LYS STEVENS,2,2,0
KERRSMITH DESIGN,2,2,0
KAREN TISCH,2,2,0
DIALOGUE PARTNERS,2,2,0
CANADIAN BROADCASTING CORPORATIONS SOCIACTAC RADIO CANADA,2,2,0
LANDMARK DECISIONS,2,2,0
JAM3,2,2,0
PAUL WHITNEY AND ASSOCIATES,2,2,0
PERFORMANCE MANAGEMENT CONSULTANTS,2,2,0
DELL COMPUTER,2,2,0
INFOREX,2,2,0
FACDACRATION CULTURELLE CANADIENNE FRANCAISE FCCF,2,2,0
GEORGE HEINL,2,2,0
GOVERNMENT OF THE NORTHWEST TERRITORIES,2,2,0
GAGNAC LECLERC GROUPE CONSEIL,2,2,0
GENESIS PR,2,2,0
HAY GROUP,2,2,0
LIPMAN STILL PICTURES,2,2,0
RECEIVER GENERAL FOR CANADA CIHR,2,2,0
