gen_vendor_normalized,total_entries,total_contracts,total_amendments
FISHER SCIENTIFIC,364,360,4
ILLUMINA,237,217,20
HONEYWELL,230,222,8
CANADIAN CORPS OF COMMISSIONAIRES,226,185,41
SHARP ELECTRONICS,212,159,53
AGILENT,206,203,3
VWR INTERNATIONAL,196,193,3
ATCO,189,90,99
STANTEC,174,150,24
NISHA TECHONOLOGIES,171,164,7
SIEMENS,170,148,22
AIR PRODUCTS CANADA,153,98,55
AIR LIQUIDE CANADA,123,84,39
EXCEL HUMAN RESOURCES,120,66,54
PRAXAIR PRODUCTS,114,78,36
MTS ALLSTREAM,114,113,1
LINDE CANADA,109,91,18
LIFE TECHNOLOGIES,105,104,1
GENERAL ELECTRIC CANADA,99,96,3
BELL CANADA,98,75,23
WATERS,95,91,4
XEROX,92,74,18
SNC LAVALIN,86,74,12
THE MATHWORKS,85,84,1
TESTFORCE SYSTEMS,83,81,2
NATIONAL INSTRUMENTS CANADA,76,75,1
SHI CANADA,76,74,2
ALTIS HUMAN RESOURCES,76,42,34
AXT,71,71,0
HITACHI DATA SYSTEMS,71,67,4
LCI ENGINEERING,69,64,5
OPSIS GESTION DINFRASTRUCTURES,66,59,7
CBCITELECOM,65,61,4
MINDWIRE SYSTEMS,62,19,43
ROCHE DIAGNOSTICS,62,62,0
TUC MANAGED IT SOLUTIONS,62,61,1
CONCEPT CONTROLS,61,55,6
BECKMAN COULTER CANADA,60,58,2
PHASELOCK SYSTEMS INTERNATIONAL,59,59,0
NEWPORT,54,54,0
AV TECH,53,43,10
AVJET HOLDING,52,50,2
HOSKIN SCIENTIFIC,51,51,0
MATERION,51,51,0
NORTHERN MICRO,51,48,3
THE AIM GROUP,50,34,16
APPLIED BIOSYSTEMS,48,45,3
PRAXAIR CANADA,48,35,13
BRUKER AXS,46,43,3
CANON,46,43,3
THERMO FISHER SCIENTIFIC,45,44,1
DELL COMPUTER,44,43,1
ANSYS CANADA,44,43,1
DALIMAR INSTRUMENTS,44,43,1
TEKSYSTEMS CANADA,43,16,27
KEYSIGHT TECHNOLOGIES CANADA,39,39,0
PERKIN ELMER HEALTH SCIENCES,39,38,1
METROPOLITAN LOOSE LEAF,38,29,9
OLYMPUS CANADA,38,38,0
KURT J LESKER CANADA,38,36,2
LAURENTIDE CONTROLS,37,37,0
GAMBLE TECHNOLOGIES,36,36,0
NITRO MICROSYSTEMS,35,34,1
A TECH INSTRUMENTS,35,32,3
KF AEROSPACE,34,28,6
MAXXAM ANALYTIQUE,34,26,8
TA INSTRUMENTS,34,31,3
ORACLE CANADA,33,33,0
EBSCO CANADA,32,8,24
MICROSOFT CANADA,32,30,2
CHEMROUTES,32,7,25
BENCHMARK TECHNOLOGIES,32,31,1
UNIVERSITY OF ALBERTA,32,28,4
GROUPE INTERSOL GROUP,32,31,1
DURHAM INSTRUMENTS,31,30,1
COHERENT LASER GROUP,31,29,2
TEKNION,31,31,0
EBARA TECHNOLOGIES,30,30,0
SPTS TECHNOLOGIES,30,30,0
DOMUS BUILDING CLEANING,30,21,9
AKZO NOBEL POLYMER CHEMICALS,30,30,0
MSPEC,30,29,1
OVID TECHNOLOGIES,29,29,0
BSD SOLUTIONS,29,28,1
BRUKER,29,28,1
TP CRAWFORD,29,18,11
PRICEWATERHOUSE COOPERS,29,20,9
MISHKUMI TECHNOLOGIES,28,27,1
NATIONAL INSTRUMENTS,28,27,1
GOLDER ASSOCIATES,28,26,2
GRAHAM OIL ENERGY,28,26,2
SIERRA SYSTEMS GROUP,27,17,10
DELOITTE AND TOUCHE,27,19,8
CACHE COMPUTER CONSULTING,27,14,13
AIXTRON GENUS,27,26,1
HEWLETT PACKARD,27,26,1
LA CITE COLLEGIALE,27,21,6
BEDARD RESSOURCES,27,15,12
STERIS CANADA,27,26,1
BLACK MCDONALD,26,17,9
