vendor_normalized,effective_year,sum_yearly_value
COLLINS BARROW OTTAWA,2013,42014.813333333
COLLINS BARROW OTTAWA,2014,42014.813333333
COLLINS BARROW OTTAWA,2015,42014.813333333
COLLINS BARROW OTTAWA,2016,42014.813333333
COLLINS BARROW OTTAWA,2017,42014.813333333
DELOITTE AND TOUCHE,2016,163397.18
DELOITTE AND TOUCHE,2017,376460.07
ERNST YOUNG,2016,51148.32
ERNST YOUNG,2017,135706.973333333
HYATT LAUREL A,2017,111898.25
KPMG,2013,18061.242
KPMG,2014,18061.242
KPMG,2015,18061.242
KPMG,2016,74504.742
KPMG,2017,210735.272
MARCIL LAVALLEE,2017,109578.93
MICROSOFT CANADA,2014,482665.575
MICROSOFT CANADA,2015,482665.575
MICROSOFT CANADA,2016,482665.575
MICROSOFT CANADA,2017,1427931.415
NISHA TECHONOLOGIES,2017,139730.15
PRICEWATERHOUSE COOPERS,2016,55071.155
PRICEWATERHOUSE COOPERS,2017,242310.48
SAMSON ASSOCIES CPA CONSULTATION,2016,86682.725
SAMSON ASSOCIES CPA CONSULTATION,2017,367297.975
