gen_vendor_normalized,total_entries,total_contracts,total_amendments
EXCEL HUMAN RESOURCES,146,105,41
ATCO,132,117,15
CANON,121,107,14
TDS DIXON,119,118,1
ALTIS HUMAN RESOURCES,108,77,31
PRINTERS PLUS,106,105,1
FISHER SCIENTIFIC COMPANY,90,88,2
AGILENT,90,90,0
GREAT SLAVE HELICOPTERS,87,68,19
NISHA TECHONOLOGIES,82,75,7
VWR INTERNATIONAL,80,80,0
ESRI,70,65,5
ACTIVATION LABORATORIES,65,64,1
PRISM ENGINEERING,63,62,1
STANTEC,60,59,1
ITEX,56,55,1
THERMO FISHER SCIENTIFIC,55,55,0
FIRST AIR,54,47,7
CANADIAN CORPS OF COMMISSIONAIRES,53,40,13
WSP,53,48,5
NORTHERN MICRO,53,53,0
BRONSON CONSULTING GROUP,51,46,5
SHARP ELECTRONICS,50,48,2
SOFTCHOICE,50,49,1
OVERBURDEN DRILLING MANAGEMENT,48,48,0
CANADIAN HELICOPTERS,48,46,2
MACDONALD DETTWILER AND ASSOCIATES,44,40,4
UNIVERSAL HELICOPTERS,43,31,12
CBCI TELECOM,40,40,0
953731 NWT,40,39,1
TAG HR,38,25,13
GROUPE INFO CONSULT,37,37,0
KENN BOREK AIR,37,26,11
CARLETON UNIVERSITY,37,33,4
ADVANCED BUSINESS INTERIORS,37,37,0
GEOFORCE CONSULTANTS,36,35,1
UNIVERSITY OF BRITISH COLUMBIA,36,34,2
CANETA RESEARCH,36,36,0
ALTUS GEOMATICS,35,35,0
ACME ANALYTICAL LABORATORIES,33,32,1
UNIVERSITY OF ALBERTA,33,33,0
UNIVERSITE LAVAL,33,33,0
ICF CONSULTING CANADA,32,30,2
THE MATHWORKS,32,32,0
LINDE CANADA,31,28,3
ATS SCIENTIFIC,31,31,0
EXPOGRAPHIQ,31,30,1
KNOWLEDGE CIRCLE,31,28,3
TRANS NORTH TURBO AIR,30,28,2
FISHER SCIENTIFIC,30,30,0
UNAALIK AVIATION 2004,28,16,12
COSSETTE COMMUNICATIONS,28,25,3
VANCOUVER PETROGRAPHICS,28,27,1
MATRA GS TRANSLATION SERVICES,28,25,3
GEOFORCE GROUP,28,28,0
UNIVERSITY OF OTTAWA,28,25,3
HOSKIN SCIENTIFIC,28,28,0
ACTION PERSONNEL,27,17,10
TEKNION,27,27,0
FPINNOVATIONS,27,22,5
PRIORITY PERSONNEL,27,21,6
NORTH WRIGHT AIRWAYS,27,25,2
DYNAMIC PERSONNEL CONSULTANTS,26,17,9
SAS INSTITUTE,26,26,0
DELOITTE AND TOUCHE,26,21,5
OPENTEXT,26,25,1
ACART COMMUNICATIONS,26,25,1
ANSYS CANADA,26,23,3
VERITAAQ TECHNOLOGY HOUSE,25,12,13
NAVIGANT CONSULTING,25,25,0
ARBORICULTURAL SERVICES,25,25,0
LECO INSTRUMENTS,25,25,0
RGB MEDIA,25,8,17
NANOMETRICS,25,23,2
UNDERHILL GEOMATICS,24,24,0
CHIAN CONSULTING,24,22,2
HYPERACTIVE PRODUCTIONS,24,23,1
KPMG,24,20,4
MTS ALLSTREAM,23,22,1
STRATOS,23,22,1
