gen_vendor_normalized,total_entries,total_contracts,total_amendments
SOFTCHOICE,18,18,0
APPLIED ELECTONICS,14,14,0
CEV,5,5,0
FACEBOOK,4,4,0
CDW CANADA,4,2,2
LAVERY DE BILLY,4,4,0
AKUFEN ATELIER CREATIF,4,4,0
HELIX MANAGEMENT CONSULTING SERVICES,4,4,0
APPLE CANADA,3,3,0
ROHDESCHWARZ CANADA,3,3,0
RICHTER,3,3,0
JAM3,3,3,0
IMAGES ET TECHNOLOGIE,3,3,0
SOLOTECH,3,3,0
CSI LEASING CANADA,3,3,0
GO MULTI MEDIA,3,3,0
SOUND CHICK SFX,3,3,0
SPB PSYCHOLOGIE ORGANISATIONNELLE,3,3,0
OPUS 59 FILMS,2,2,0
ORACLE CANADA,2,2,0
THE FOUNDRY,2,2,0
GROUPE LAFRANCE COMMUNICATIONS,2,2,0
ALL SEEING EYE,2,2,0
IBM CANADA,2,2,0
LUNALUX PRODUCTIONS,2,2,0
3DI SYNTHESES,2,2,0
RESONANCE TJL,2,2,0
CONTENT AWARE SOLUTIONS,2,2,0
BUSINESS INTERIORS ONTARIO,2,2,0
BELL CANADA,2,2,0
RISQ,2,2,0
ROHDE SCHWARZ CANADA,2,2,0
ARRI CANADA,2,2,0
SFDS,2,2,0
DAINTY PRODUCTIONS,2,2,0
CANDELA COLLECTIVE,2,2,0
MPRM COMMUNICATIONS,2,2,0
F2 TECHNOLOGIES,2,2,0
STUDIO CASA RARA,2,2,0
NORTH PLAINS SYSTEMS,2,2,0
NVENTIVE,2,2,0
TATTERSALL SOUND PICTURE,2,2,0
ACCESS INFORMATION PROTECTED,2,2,0
ERDI EDUCATION RESEARCH DEVELOPMENT AND INNOVATION,1,1,0
ESPACES TEMPS MONTREAL,1,1,0
EXITCERTIFIED,1,1,0
EXSONO,1,1,0
FREEBALANCE,1,1,0
GIGNAC BENOIT,1,1,0
GLOBAL MECHANIC MEDIA,1,1,0
GROUPE LA GUERILLA,1,1,0
HAJA RAMAHATRA HR2 CONSULTATION,1,1,0
HIGH ROAD,1,1,0
IMAGINCOLOR,1,1,0
IMAGINENATIVE,1,1,0
IMPRIMERIE LEMPREINTE CLASSIQUE NUMERIQUE,1,1,0
INSO MONTREAL,1,1,0
INTERGALACTIC AGENCY,1,1,0
IRON MOUNTAIN CANADA OPERATIONS,1,1,0
JACKNIFE,1,1,0
JAMES BRAITHWAITE,1,1,0
JUO HSIN CHEN LAURA,1,1,0
KRAKOWIAK ALEKSANDRA,1,1,0
LABARRE GAUTHIER,1,1,0
LALIBERTE LEBLANC RECHERCHE DE CADRES,1,1,0
LA TETE CHERCHEUSE DEPISTEU,1,1,0
LEA CARLSON DESIGNS,1,1,0
LENVOL DES LANGUES,1,1,0
LES EVADES,1,1,0
LES PRODUCTIONS MUSIQUE TACITE,1,1,0
LES PRODUCTIONS ROMEO ET FILS,1,1,0
LES PRODUCTIONS SEE CREATURE,1,1,0
LG2 FABRIQUE,1,1,0
MARKETING LEGER,1,1,0
MARKETING ZENDATA,1,1,0
MATLIN JULIE,1,1,0
MCINTYRE MEDIA,1,1,0
MECANICA SOLUTIONS,1,1,0
MECENESS,1,1,0
MEDIAMACHINE,1,1,0
MILL3 STUDIO,1,1,0
MINDSTREAM TC PCB,1,1,0
MONIQUE LEBLANC CREATIONS,1,1,0
NATURALPOINT,1,1,0
NIELSEN MEDIA RESEARCH,1,1,0
NOUS SOMMES FOLKLORE,1,1,0
OLIVER VINCENT MATHEW,1,1,0
PARADIS RENAUD,1,1,0
PHI CENTRE,1,1,0
POINTS NORTH DESIGN,1,1,0
PREVELLE FLORENT,1,1,0
PRODUCTIONS KOONACKY,1,1,0
PROFESSIONNELS EN REGLEMENT DES DIFFEREN,1,1,0
PROFESSIONNELS EN REGLEMENT DES DIFFERENDS,1,1,0
