owner_acronym,total_entries,total_contracts,total_amendments
ssc,543,392,151
cra,425,411,14
rcmp,245,225,20
pspc,221,194,27
dnd,140,135,5
esdc,92,91,1
pc,73,73,0
ircc,57,52,5
dfo,36,26,10
gac,36,35,1
phac,27,16,11
tc,27,25,2
hc,26,15,11
csc,24,23,1
ec,23,23,0
osfi,22,20,2
cnsc,22,22,0
ic,20,20,0
csps,16,16,0
pco,15,15,0
tbs,15,15,0
ps,13,12,1
ced,12,12,0
just,12,12,0
cas,12,11,1
fin,8,6,2
pbc,6,6,0
nrcan,5,5,0
inac,4,4,0
cbsa,4,4,0
nrc,4,3,1
pch,4,4,0
crtc,3,3,0
csa,3,3,0
oag,2,2,0
agr,2,1,1
stats,2,2,0
fja,1,1,0
ppsc,1,1,0
cics,1,1,0
vac,1,1,0
cfia,1,1,0
atssc,1,1,0
psc,1,1,0
