vendor_normalized,sum_effective_value
MCKESSON CANADA,117159828.65
ADGA GROUP,106102588.37
SALVATION ARMY,93438880.91
CANADIAN CORPS OF COMMISSIONAIRES,64818526.91
LOGISTIK UNICORP,58620567.31
COLLIERS PROJECT LEADERS,50601365.68
CISTEL TECHNOLOGY,37001275.06
MARCOMM,36624580.68
BRETON MICHEL MD,30324561.25
MOTOROLA SOLUTIONS CANADA,22871962.48
SOCIETE EMMANUEL GREGOIRE,22111488.00
OEI KRUEGER,20381108.29
DONNA CONA,19643002.04
CORADIX TECHNOLOGY CONSULTING,18477058.00
JOHN HOWARD SOCIETY OF OTTAWA,18373668.04
KAIROS PNEUMA CHAPLAINCY,17961350.00
EXTRAVISION VIDEO TECHNOLOGIES,17903295.12
ST LEONARDS COMMUNITY SERVICES,17769965.80
JOHN HOWARD SOCIETY,17673950.24
SALESTECH MARKETING,16877754.00
JOHN HOWARD SOCIETY OF THE LOWER MAINLAND OF BC THE,16694199.40
ST LEONARDS SOCIETY HAMILTON,15970440.54
CASCADE COLLEGE,15890020.00
DELCO AUTOMATION,15515145.33
AIM HEALTH GROUP,15330743.24
BRIDGES OF CANADA,15322645.30
FRASER HEALTH AUTHORITY,15182680.50
NORTHERN MICRO,14572284.08
REGIONAL HEALTH AUTHORITY B,14455982.00
BRIDGES OF CA,14180494.30
ST LEONARDS PLACE PEEL,14137940.40
GENERAL DYNAMICS,12722246.27
EDMONTON JOHN HOWARD SOCIETY,11167024.60
CATHOLIC SOCIAL SERVICES,10560745.43
MAISON DECISION HOUSE,10347431.78
JOHN HOWARD SOCIETY THOMPSON REGION,10108030.00
SERVICES D AIDE EN PREVENTION DE LA CRIMINALITE,9835354.80
ST LEONARDS HOUSE WINDSOR,9634642.60
PRINCE GEORGE ACTIVATOR,9410439.00
S R C PROFESSIONAL,9394636.00
CALIAN,9336961.93
LAREN SOCIETY,9330282.50
SIERRA SYSTEMS GROUP,9253504.68
RESIDENCE CARPEDIEM,9244425.56
MINDWIRE SYSTEMS,9121319.00
UPA CONSTRUCTION GROUP ABLTD,8997721.00
WESTCOAST GENESIS SOCIETY,8955186.00
AIR INUIT,8709781.82
NEUROSCOPE,8587554.00
ELIZABETH FRY SOCIETY OF OTTAWA,8378416.00
GLENCAIRN EDUCATIONAL SERVICES,8353609.84
NUTRITEK,8218286.73
CARTEL COMMUNICATIONS SYSTEMS,8029289.48
OKANAGAN HALFWAY HOUSE SOCIETY CRF,7950447.70
MAISON CHARLEMAGNE,7775954.00
DYNACARE,7656997.69
RK MARKETING,7552821.43
SAP,7395887.49
SENSTAR,7393262.27
ARI FINANCIAL SERVICES,7329758.36
NA ME RES SAGATAY,7054111.00
MAISON JEUN AIDE,7045390.00
HOUSE OF HOPE,6793703.79
SEVEN SOUTH STREET TREATMENT CENTRE,6576242.54
DR MANDEEP SAINI,6536680.00
ST LEONARDS SOCIETY OF TORONTO,6531999.00
SHELTER NOVA SCOTIA,6525872.00
MAISON JOINS TOI,6484276.70
ATLANTIC HUMAN SERVICES,6418045.56
CORNERSTONE COMMUNITY ASSOCIATION,6362903.60
ALATISHE MOSES A DR,5829905.43
MODIS CANADA,5785848.60
CORPORATION PROFESSIONNELLE MEDICALE THERIAULT ARSENAULT,5744072.87
ELIZABETH FRY SOCIETY OF KINGSTON,5604744.19
CIRCLE OF EAGLES LODGE SOCIETY,5557612.82
DR DAVID LESAGE,5467433.98
NATIVE CLAN ORGANIZATION,5452545.00
R LAMBA FORENSIC PSYCH SERVICE,5249411.00
FORD MOTOR COMPAMY,5219856.35
COVERDALE CENTRE FOR WOMEN,5199844.72
TSOW TUN LE LUM SOCIETY,5149526.00
CHRYSLER CANADA,5137259.46
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,5125449.67
D OLIVER MEDICINE PROFESSIONAL,5063437.20
APICA MEDICAL SERVICES,5025285.81
HENNESSY JJ DR PROFESSIONAL,4943803.00
ELIZABETH FRY SOCIETY OF CAPE BRETON,4921756.00
MAISON RADISSON,4860559.41
TOITURES TECHNI TOIT LES,4733796.00
JOHN HOWARD AND E FRY SOCIETY OF CALGARY,4728841.65
CRC ROBERVAL,4720939.87
MAISON CROSS ROADS DE LA SOCIETE,4666630.13
DR EMMANUEL AQUINO,4646460.00
PODOLINSKY EQUIPMENT,4576703.58
SPARX SMART PODS,4517742.24
THE JOHN HOWARD SOCIETY OF THE LOWER MAINLAND OF BC,4469920.47
