gen_vendor_normalized,total_entries,total_contracts,total_amendments
CANON,36,33,3
XEROX,21,20,1
CANADIAN CORPS OF COMMISSIONAIRES,16,16,0
MOBILSHRED RECALL,13,11,2
CHARLOTTE HEBERT,11,10,1
NOEL MILLIEA,9,9,0
NEOPOST CANADA,7,6,1
ECOL LASER SERVICES,7,7,0
MARY LOUIE,7,7,0
RALPH SERIN,7,7,0
ERNIE CARDINAL,7,7,0
ROLAND DUQUETTE,6,6,0
BILL MARACLE,6,6,0
IRON MOUNTAIN,6,5,1
FRANCA CORTONI,6,6,0
ELSIE WINNIPEG,6,6,0
TELUS CANADA,6,6,0
ARTHUR SHOFLEY,6,6,0
TOM SAMPSON,6,6,0
ADIRONDACK TECHNOLOGIES,5,5,0
ALBERT DUMONT,5,4,1
ARTOPEX,5,5,0
WEST WIND AVIATION,5,5,0
AIRCO AIRCRAFT CHARTERS,5,5,0
PITNEY BOWES,5,5,0
GLOBAL UPHOLSTERY CO,5,5,0
TYCO INTEGRATED SECURITY CANADA,5,5,0
HUMANSCALE CANADA CORPORATION,5,5,0
DAVID LASWISSE CONSULTING,5,5,0
ST JOSEPH COMMUNICATIONS,5,5,0
JEAN-PIERRE GUAY,5,5,0
DASCO DATA PRODUCTS,5,5,0
SANDRA LEWIS-DEN OTTER,4,4,0
DARE HUMAN RESOURCES,4,4,0
FAITH PEGAHMAGABOW,4,4,0
COMMUNITY EMPLOYMENT AGENCY,4,4,0
JEAN SUTTON,4,4,0
BELL CANADA,4,4,0
SUBARU CANADA,4,4,0
ROBERT PAQUETTE,3,3,0
SHARP ELECTRONICS,3,3,0
DANIEL DAIGNEAULT & ASSOCIATES,3,3,0
SOCIETY OF ONTARIO ADJUDICATORS AND EDUCATORS,3,3,0
RANDSTAD,3,3,0
CORCAN,3,3,0
QUANTUM MANAGEMENT SERVICES,3,3,0
PROACTIVE SECURITY,3,3,0
AFFINITY VIDEO PRODUCTIONS,3,3,0
LORRAINE COLLETTE,3,3,0
ERVIN HILTS,3,3,0
JO-ANNE THOMAS,3,3,0
CHARRON HUMAN RESOURCES,3,3,0
JANE CHARTRAND,3,3,0
I S T S SIMULTANEOUS INTERPRETATION,3,3,0
FURLOW FINANCIAL CORPORATION,3,3,0
CONSTANT CORPORATE SECURITY & INVESTIGATION,3,3,0
GRAND & TOY,3,3,0
GLENCASTLE SECURITY,3,3,0
ALLSEATING CORP,3,3,0
THE GLOBAL GROUP,3,3,0
SUSSEX CIRCLE,3,3,0
THE RETIREMENT PLANNING INSTITUTE,3,3,0
ADVANCED BUSINESS INTERIORS,2,2,0
RICOH,2,1,1
CROWN STORE-ALL FACILITIES,2,2,0
ALLEGRA PRINT AND IMAGING ABBOTSFORD,2,2,0
ROBERT HALF CANADA,2,2,0
RECALL,2,2,0
CROWN ENTERPRISE,2,2,0
ADIRONDACK INFORMATION MANAGEMENT,2,2,0
RIAS,2,2,0
GENESIS INTEGRATION,2,2,0
PR ASSOCIATES,2,2,0
CONSTANT CORPORATE SECURITY & INVESTIGATIONS,2,2,0
ALBERTA FOUNDATION OF ADMINISTRATIVE JUSTICE,2,2,0
RICHARD SIMAGANIS,2,2,0
SOUTHEASTERN TELECOMMUNICATION SERVICES,2,2,0
NEXT WOOD,2,2,0
NOEL MILLEA,2,2,0
MARJORIE WRIGHT,2,2,0
FEDERAL EXPRESS CANADA,2,2,0
FEDERAL EXPRESS,2,2,0
JOE HERBERT,2,2,0
JOHN MARACLE,2,2,0
EXCEL HUMAN RESOURCES,2,2,0
ADIRONDACK TECHNOLOGIES FURNITURE,2,2,0
JOE BEAVERHO,2,2,0
KROMAR PRINTING,2,2,0
ERVIN J HILTS,2,2,0
L D STEWART COMMUNICATION ENTERPRISES,2,2,0
ECOLLASER SERVICE,2,2,0
JANE ZAKRESKI CONSULTING,2,2,0
DYNAMIC PERSONNEL CONSULTANTS,2,2,0
FURLOW FINANCIAL,2,2,0
CECIL CRIER,2,2,0
IGNACIO & ASSOCIATES MARKETING,2,1,1
ARTEMP PERSONNEL SERVICES,2,2,0
GABRIELLE LAMOUCHE-TOMLINSON,2,2,0
HERBERT JOE,2,2,0
ACTION PERSONNEL OF OTTAWA-HULL,2,2,0
