vendor_normalized,sum_effective_value
VAISALA,34562294.13
CANADIAN CORPS OF COMMISSIONAIRES,28040399.23
HOSKIN SCIENTIFIC,19106290.45
RONDAR,18277361.39
AGILENT,17849252.10
CD NOVA TECH,16867724.83
EXCEL HUMAN RESOURCES,13869768.82
ATCO,13609953.83
AXYS ANALYTICAL SERVICES,13438955.77
LIONBRIDGE,12964510.74
ATS SERVICES,12224587.91
TERAMACH TECHNOLOGIES,12052043.01
ALTIS HUMAN RESOURCES,11386175.21
ORACLE CANADA,10855068.55
FORD MOTOR COMPAMY,10446288.02
CANON,9565893.31
VERITAAQ TECHNOLOGY HOUSE,9113237.58
HEWLETT PACKARD,9070250.68
SYSTEMATIX SOLUTIONS,9027509.68
CANADIAN HELICOPTERS,8834511.85
SOFTCHOICE,8818621.44
WATERS,8096338.92
ESRI,8082730.35
CBCL,8025310.74
AXYS TECHNOLOGIES,7938453.86
NISHA TECHONOLOGIES,7894466.50
OPSIS GESTION INFRASTRUCTURES,7432927.16
MAPLESOFT CONSULTING,7369914.79
CAMPBELL SCIENTIFIC CANADA,7094199.43
MICROBIO LCA,6788759.08
DASCO EQUIPMENT,6669207.16
BC CONSERVATION FOUNDATION,6668940.86
AIR TINDI,6564290.95
DELL COMPUTER,6537427.82
PORTAGE PERSONNEL,6491084.64
FISHER SCIENTIFIC,6266782.89
MICROSOFT CANADA,6233718.49
GREAT SLAVE HELICOPTERS,6209472.55
AERODYNE RESEARCH,6185900.27
GENERAL MOTORS,6034786.24
FTS FOREST TECHNOLOGY SYSTEMS,5837724.54
CAMPBELL SCIENTIFIC,5447999.42
TRM TECHNOLOGIES,5301133.74
BELL CANADA,5184596.08
SYSTEMATIC SOLUTIONS,5032285.00
PACWILL ENVIRONMENTAL,5026862.44
BDO CANADA,4872221.43
XEROX,4465587.89
ANDREW MAZEIKIS ANDREW LEE,4447970.00
AQUATIC INFORMATICS,4301829.89
BARBARA PERSONNEL,4225987.74
TSI,4192760.09
DROPLET MEASUREMENT TECHNOLOGIES,4185478.30
RANDSTAD,4183215.35
1257162 ONTARIO,4100905.65
SIERRA SYSTEMS GROUP,4082848.50
