vendor_normalized,effective_year,sum_yearly_value
CANADIAN CORPS OF COMMISSIONAIRES,2016,163285.00
CANADIAN CORPS OF COMMISSIONAIRES,2017,321683.00
DELL COMPUTER,2016,35906.10
DELL COMPUTER,2017,384028.50
ELSEVIER,2014,465912.75
ELSEVIER,2015,465912.75
ELSEVIER,2016,465912.75
ELSEVIER,2017,205304.25
FUJITSU,2016,873793.74
FUJITSU,2017,741079.76
MAPLESOFT CONSULTING,2016,42476.50
MAPLESOFT CONSULTING,2017,485572.17
MICROSOFT CANADA,2016,141704.85
MICROSOFT CANADA,2017,289010.13
MINDWIRE SYSTEMS,2016,189077.25
MINDWIRE SYSTEMS,2017,281567.33
ORACLE CANADA,2016,144184.81
ORACLE CANADA,2017,291253.81
OTTAWA MARRIOTT,2017,1239410.00
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,2016,133306.53
OTTAWA MARRIOTT HOTELS INNVEST HOTELS GP,2017,1269530.23
