vendor_normalized,sum_effective_value
PMG TECHNOLOGIES,60239092.26
MINDWIRE SYSTEMS,21403650.7966667
CANADIAN CORPS OF COMMISSIONAIRES,18378338.68
SI SYSTEMS,17885681.3899999
TPG TECHNOLOGY CONSULTANTS,16813365.2516667
ARUP CANADA,14956985.1
ORACLE CANADA,13232791.925
BOMBARDIER,9396109.63999999
RA MALATEST AND ASSOCIATES,9073092.28
JA LARUE,8908790.71
TEKSYSTEMS CANADA,8806050.61333332
MANPOWER SERVICES CANADA,8722546.93333332
TRU SIMULATION TRAINING,8680286.79
TURTLE TECHNOLOGIES,8564916.83999999
STANDARD AERO,8230333.06
ELLIOTT AVIATION OF THE QUAD CITIES,7659389.47
COREDAL SYSTEMS CONSULTING,7317861.16666668
MAPLESOFT CONSULTING,6900052.75333334
XEROX,6595785.2344048
NORTRAX CANADA,6436910.97
VECTOR AEROSPACE,6418719.8
EMERION,6305932.00833333
DELOITTE AND TOUCHE,6045668.095
RIDGEFIELD SYSTEMS CONSULTING,6035191.454
THE APPLICATIONS SYSTEMS GROUP,5886914.13
SOFTCHOICE,5878160.35
BELL TEXTRON HELICOPTER,5876838.42
IMPERIAL OIL,5829389.37166672
CANADIAN BANK NOTE COMPANY,5575193.745
QUORUM,5152390.88250007
NATTIQ,4732468.26
ALTIS HUMAN RESOURCES,4656322.69833334
EXCEL HUMAN RESOURCES,4640578.99
EQUASION BUSINESS TECHNOLOGIES,4333035.34333332
CORADIX TECHNOLOGY CONSULTING,4278785.46
WSP,4039247.27
GOLDER ASSOCIATES,3926678.07
APS AVIATION,3921075.46833334
TIREE,3846894.38
SYSTEMATIX SOLUTIONS,3678721.94
QMR,3596789.42111111
PERSEN TECHNOLOGIES,3525201.93
MISHKUMI TECHNOLOGIES,3478709.48
NORTHERN MICRO,3441068.495
DILLON CONSULTING,3436173.66
CORPS CANADIEN DES,3381964.44
HEADWATER ENVIRONMENTAL,3277278.60444452
EUROCOPTER CANADA,3276408.66
CANBEC MOVING AND INSTALLATION,3174909.44799999
MICROSOFT CANADA,3134411.13
CISTEL TECHNOLOGY,3081879
ESPER CONSULTING,3060704.89999997
CAE,2985973.2425
SIMEX DEFENCE,2969812.9
OPSIS GESTION DINFRASTRUCTURE,2931866.28722224
TRM TECHNOLOGIES,2870569.14
SYSTEMSCOPE,2868518.49999998
UNIVERSITY OF NEW BRUNSWICK,2822684.85333333
CGI,2762657.9
ADRM TECHNOLOGY CONSULTING,2663258.125
STONEWORKS TECHNOLOGIES,2648612.52
EDAG,2647997.2
CORPS CANADIEN DES COMMISSIONNAIRES DIVISION DU QUEBEC,2609799.5
COMPUGEN,2608656.61
CAMP SYSTEMS INTERNATIONAL,2599357.885
ONX ENTERPRISE SOLUTIONS,2581148.37
AERO SUPPLIES,2519664.8
EASTMAIN BAND COUNCIL,2472545.05
ANDIAN TECHNOLOGIES,2458607.89
HEDDLE MARINE SERVICES,2425596.48
DLS TECHNOLOGY,2424818.83
NEWDOCK ST JOHN S DOCKYARD,2418720.28
SAMSON ASSOCIES CPA CONSULTING,2395295.85
HEWLETT PACKARD,2390820.63
STANTEC,2386350.02499998
ANDREW MAZEIKIS ANDREW LEE,2366784.99999999
CPCS TRANSCOM,2332699.59
UNIVERSITY OF WESTERN ONTARIO,2305827.21333333
LIONBRIDGE,2288250
COLLISION ANALYSIS CONSULTING,2280984.59
BAY FERRIES MANAGEMENT,2260000
RONA KINETICS ASSOCIATES,2180960.98
N12 CONSULTING,2110199.66666667
MORPHO CANADA,2091979.02
SAMSON ASSOCIATES,2085466.065
WABUSH JANITORIAL SERVICES,2031464.84999999
WARTSILA,2028676.69
FORD MOTOR COMPAMY,2021649.38
GARTNER,1997692.8
AEROPORTS DE MONTREAL,1989027.23
PROMAXIS,1974476.12
DR GARY MANSFIELD,1958666.66666666
SJOLAND THYSELIUS AIRBORNE SYSTEMS ST AIRBORNE SYSTEMS,1914910
ALBERTA INNOVAT TECHNOLOGY FUT,1904592.24
THE ACCESS INFORMATION AGENCY,1896877.89
ACT,1877532.95
THE ASSOCIATES GROUP OF COMPANIES,1871433.43999999
HONEYWELL,1870202.21
BUBBLE TECHNOLOGY INDUSTRIES,1847550
SWEDISH SPACE,1834659.05
