vendor_normalized,effective_year,sum_yearly_value
ADRM TECHNOLOGY CONSULTING,2016,79856.84
ADRM TECHNOLOGY CONSULTING,2017,79856.84
ALTIS HUMAN RESOURCES,2014,31507.54
ALTIS HUMAN RESOURCES,2015,31507.54
ALTIS HUMAN RESOURCES,2016,147480.31
ALTIS HUMAN RESOURCES,2017,9802.02
COSSETTE COMMUNICATIONS,2016,18503.75
COSSETTE COMMUNICATIONS,2017,111052.19
DONNA CONA,2016,86726.79
DONNA CONA,2017,86726.79
EKOS RESEARCH ASSOCIATES,2014,39641.39
EKOS RESEARCH ASSOCIATES,2015,39641.39
EKOS RESEARCH ASSOCIATES,2016,39641.39
FOXRED CONSULTING,2015,60991.12
FOXRED CONSULTING,2016,60991.12
FOXRED CONSULTING,2017,60991.12
MGIS,2015,47943.00
MGIS,2016,47943.00
MGIS,2017,44090.31
MODIS CANADA,2015,26886.96
MODIS CANADA,2016,108800.69
MODIS CANADA,2017,5238.14
RANDSTAD,2016,78439.20
RANDSTAD,2017,78439.20
SIERRA SYSTEMS GROUP,2015,275020.57
SIERRA SYSTEMS GROUP,2016,395301.97
SIERRA SYSTEMS GROUP,2017,395301.97
